date,close,high,low,volume
2020-09-22,3274.3,3320.23,3265.7,214015072.0
2020-09-23,3279.71,3289.76,3264.89,169178064.0
2020-09-24,3223.18,3265.35,3221.24,206736016.0
2020-09-25,3219.42,3239.47,3208.04,164822416.0
2020-09-28,3217.53,3238.18,3210.89,155982784.0
2020-09-29,3224.36,3242.79,3219.79,151349872.0
2020-09-30,3218.05,3244.91,3202.34,153504464.0
2020-10-09,3272.08,3280.51,3260.19,188325648.0
2020-10-12,3358.47,3359.15,3286.11,259622400.0
2020-10-13,3359.75,3361.83,3334.5,204926096.0
2020-10-14,3340.78,3353.62,3332.96,198659376.0
2020-10-15,3332.18,3354.58,3330.0,191031280.0
2020-10-16,3336.36,3348.95,3319.11,194295424.0
2020-10-19,3312.67,3371.09,3307.84,212303536.0
2020-10-20,3328.1,3328.1,3293.77,165084768.0
2020-10-21,3325.02,3332.15,3304.17,177632112.0
2020-10-22,3312.5,3320.88,3281.37,165949984.0
2020-10-23,3278.0,3326.05,3276.62,174208976.0
2020-10-26,3251.12,3264.45,3226.6,167731792.0
2020-10-27,3254.32,3258.34,3235.54,149115568.0
2020-10-28,3269.24,3275.87,3238.38,173181968.0
2020-10-29,3272.73,3289.77,3231.12,184703584.0
2020-10-30,3224.53,3279.86,3219.42,230188800.0
2020-11-02,3225.12,3242.8,3209.91,226779136.0
2020-11-03,3271.07,3278.38,3237.85,215297856.0
2020-11-04,3277.44,3286.62,3254.11,188514128.0
2020-11-05,3320.13,3320.41,3291.6,226801456.0
2020-11-06,3312.16,3326.46,3292.15,234864128.0
2020-11-09,3373.73,3380.82,3329.43,310219776.0
2020-11-10,3360.15,3387.62,3346.17,278701120.0
2020-11-11,3342.2,3365.84,3339.04,271204640.0
2020-11-12,3338.68,3350.29,3329.49,216501312.0
2020-11-13,3310.1,3327.23,3291.64,227898368.0
2020-11-16,3346.97,3346.97,3313.65,279593760.0
2020-11-17,3339.9,3347.7,3323.95,283632480.0
2020-11-18,3347.3,3358.89,3333.99,287531264.0
2020-11-19,3363.09,3367.33,3330.45,253262992.0
2020-11-20,3377.73,3380.15,3356.31,261271216.0
2020-11-23,3414.49,3431.65,3377.99,373872032.0
2020-11-24,3402.82,3413.93,3396.24,300994144.0
2020-11-25,3362.33,3423.49,3362.33,322110208.0
2020-11-26,3369.73,3371.45,3344.28,255886816.0
2020-11-27,3408.31,3408.31,3364.49,280649888.0
2020-11-30,3391.76,3456.74,3391.76,384989952.0
2020-12-01,3451.94,3457.64,3386.91,316188992.0
